id,doc,tipo,objeto,escopo_local,tecnologia_acesso,sdwan_seguranca,redundancia,vigencia,reajuste,sla_disp,glosas,subcontratacao,precos_80,precos_100,precos_300,score_aderencia,conclusao_critica
2215770,TR 2215770 (DPRJ - Referência),Termo de Referência (Referência),Links simétricos com SD-WAN e segurança de borda (159 unidades RJ + Brasília/DF),Estado do RJ (interior/capital) + Brasília/DF,Fibra óptica / circuito dedicado simétrico de alta disponibilidade,SD-WAN nativo com orquestrador central + NGFW + IPS em 3 perfis físicos fixos,Sinergia e failover automático com links assimétricos da K2 Telecom (Contrato 20/2024),Até 12 meses (contratação direta emergencial de transição),Não aplicável (vigência inferior a 1 ano),"99,5% mensal (24x7x365)","Progressivas por faixa de indisponibilidade, teto de 30% da fatura mensal",Permitida até 30% (vedada para orquestração/gestão SD-WAN),-,-,-,1.0,Matriz de referência base da contratação emergencial.
2219726,Proposta GSNT Telecom,Cotação de Mercado (DPRJ),Links simétricos SD-WAN (Lote I) e Link Dedicado Internet (Lote II) para a DPRJ,Especificamente desenhado para os pontos da DPRJ,Circuito simétrico terrestre com gerenciamento proativo,Contempla appliance SD-WAN e orquestração conforme modelo do TR,Compatível com a topologia de failover solicitada,12 meses (aderente ao prazo emergencial),Preço fixo e irreajustável para a vigência inicial,Menciona adesão genérica aos níveis mínimos do TR,Submetido às penalidades do edital/TR,Subcontratação operacional de última milha,"R$ 5.200,00","R$ 5.900,00","R$ 6.900,00",0.4617,"Altíssima aderência técnica ao escopo, porém representa o extremo superior de preços (outlier de valor elevado, mais de 3x a mediana no item 100 Mbps)."
2219727,Pregão 107458/2025 Sec. Geral GO,Contratação Pública (Goiás),Circuitos terrestres de acesso à internet com tecnologia SD-WAN em Goiás,Unidades administrativas do Estado de Goiás,Circuitos terrestres / internet banda larga corporativa,SD-WAN com gerenciador de tráfego e balanceamento,Redundância lógica via SD-WAN,36 meses (contratação ordinária continuada),Prevê reajuste anual por índice oficial (IPCA),SLA de disponibilidade com janelas de manutenção,Descontos e sanções contratuais de pregão ordinário,Permitida conforme regras gerais da Lei 14.133/2021,-,"R$ 462,43",-,0.5663,"Excelente similaridade tecnológica no SD-WAN, porém modelagem de 36 meses com custos de amortização de hardware muito mais dilatados e perfil de tráfego local em GO."
2219728,Pregão 90037/2025 MPES,Contratação Pública (Espírito Santo),Ampliação de segurança de rede com tecnologias SD-WAN e link dedicado,Sedes e promotorias do MPES no Espírito Santo,Link dedicado IP e enlaces de segurança,Foco prioritário em appliances de segurança perimetral integrados à SD-WAN,Estrutura de alta disponibilidade em data center e filiais,Contrato continuado plurianual,Anual por índice geral,SLA corporativo com indicadores de contingência,Glosas por descumprimento de chamados e indisponibilidade,Restrita nos termos do edital,"R$ 1.243,55","R$ 848,12",-,0.5228,Boa aproximação nos itens intermediários de 80 e 100 Mbps; objeto fortemente alinhado à integração de segurança cibernética com transporte dedicado.
2219730,Pregão 90009/2025 DTI / PF,Pregão SRP Federal Nacional,"Comunicação de dados nacional (dedicado, banda larga, satélite) com SD-WAN integrado",Âmbito nacional (todas as superintendências e postos de fronteira da PF),"Mista: circuitos dedicados terrestres, satelitais e banda larga",Plataforma SD-WAN de grande porte com orquestração central,Multi-homing complexo (satélite + terrestre),Ata de Registro de Preços / contratos derivados de longa duração,Reajuste anual,Diferenciado por criticidade do posto (capital vs fronteira),Tabelas escalonadas de glosas federais,Admitida em ampla escala nacional,-,"R$ 323,24",-,0.5953,"Representa o menor valor da pesquisa (R$ 323,24 para 100 Mbps - outlier inferior). Decorre de ganho de escala extrema nacional e compras conjuntas da PF, inviável para 159 pontos específicos no RJ."
2219741,Pregão 90020/2024 MPRJ,Contratação Pública (Rio de Janeiro),Links de dados corporativos e redundância para sedes e promotorias no RJ,Exatamente o mesmo território geográfico da DPRJ (comarcas do Estado do RJ),Circuitos dedicados simétricos e redundância de última milha,Gerenciamento inteligente de rede WAN e infraestrutura de transporte privativo,Redundância ativa fornecida por enlaces paralelos (100+50 Mbps e 200+100 Mbps),Contrato continuado estadual,Anual,"99,5% para comarcas críticas, medição contínua e suporte 24x7",Regime de glosas em fatura mensal similar ao da DPRJ,Permitida até limites regulamentares estaduais,"R$ 2.055,23","R$ 2.473,94","R$ 3.873,15",0.6097,"Maior score de aderência global (0.6097). Mesma jurisdição territorial fluminense, mesma infraestrutura de telecom de interior e capital, e valores que definem a mediana de mercado no item 80 Mbps."
2219742,Contrato 18/2024 MTE / Telebras,Contrato Federal (Telebras),SD-WAN Telebras Seguro para 409 agências e gerências do Ministério do Trabalho,Nacional (agências e superintendências regionais de todo o Brasil),Backbone Telebras + circuitos de última milha credenciados,CPE Inteligente SD-WAN + Firewall NGFW + Licenças Premium + Gestão NSOC Telebras,Redundância integrada no CPE SD-WAN,"Contrato continuado, com atualização de preços de 2024 para 2026 pelo ICTI/IPEA (+8,82%)",Reajuste oficial baseado no Índice de Custo da TI (ICTI),SLA estruturado com métricas de incidentes e tempo de atendimento,Sanções administrativas e descontos em fatura,Subcontratação autorizada de suporte e última milha,-,"R$ 4.919,56","R$ 8.978,36",0.5452,"Solução técnica de hardware e NGFW muito parecida conceitualmente (SD-WAN seguro gerenciado com appliances), mas os valores unitários reajustados pelo ICTI situam-se na faixa mais cara da amostra."
2219745,Proposta CD 75/2025 FUPESC,Contratação Direta (Santa Catarina),Links e circuitos de conectividade de dados para unidades prisionais de SC,Unidades penitenciárias do Estado de Santa Catarina,Acesso corporativo dedicado à internet,Gestão de tráfego com regras de firewall de borda,Redundância local por rota alternativa,Contrato de prestação contínua,Previsão padrão da Lei 14.133/2021,Disponibilidade mínima exigida em regime contínuo,Descontos progressivos,Limitada a aspectos de infraestrutura física,-,"R$ 1.148,00",-,0.5898,"Excelente parâmetro de mercado médio para circuitos de 100 Mbps (R$ 1.148,00), muito próximo da mediana apurada pela DPRJ (R$ 1.174,00)."
2219747,Pregão 2/2026 TJMRS,Contratação Pública (Rio Grande do Sul),Interligação redundante com tecnologia SD-WAN entre Sede do TJMRS e auditorias,"Porto Alegre, Santa Maria, Passo Fundo (RS)",Circuitos simétricos terrestres com conexão redundante,SD-WAN com appliances dedicados e túneis IPsec criptografados,Alta disponibilidade fim-a-fim com agregação de links (100+50 Mbps),Até 48 meses (condicionada a nova licitação),Anual por índice geral,"SLA de disponibilidade 99,5% com garantia de MTTR",Penalidades com aplicação de glosa direta,Admitida para fornecedores locais de última milha,-,"R$ 1.200,00",-,0.5339,"Altamente compatível em requisitos técnicos de SD-WAN e SLA. O valor unitário obtido (R$ 1.200,00 para 100+50 Mbps) corrobora a consistência da mediana da planilha (R$ 1.174,00)."
2219752,Proposta Oi Atual (DPRJ),Contrato Vigente em Extinção (DPRJ),Conectividade contínua para acesso ao Data Center e à Internet (Contrato nº 18/2024),Atual parque da DPRJ (159 unidades),Rede MPLS/IP legada com migração gradual,Topologia tradicional de conectividade sem a nova camada de SD-WAN nativo integrado,Links primários com apoio do contrato nº 20/2024 (K2 Telecom),Vencimento fatal em 26/09/2026 (motivo do processo emergencial por falência),Preços históricos de 2023/2024,Parâmetros contratuais anteriores,Sanções contratuais do contrato histórico,Execução direta com parceiros,"R$ 1.488,61","R$ 1.653,14","R$ 2.795,41",0.4038,"Serve como piso e balizador histórico de custo que a Defensoria vinha pagando, mas inviável de manutenção jurídica devido à falência decretada pelo TJRJ."
