ID_SEI,Chave,Documento,Vigencia_Original,FNV_Fator,Sim_Global_Oi,Sim_Objeto_Oi,Sim_Tecnica_Oi,Sim_Contratual_Oi,Sim_SLA_Oi,Preco_Bruto_100M,Preco_Norm_100M_12m,Variacao_vs_Oi_Bruta_Pct,Variacao_vs_Oi_Norm_Pct,Preco_Norm_80M_12m,Preco_Norm_300M_12m,Total_Anual_12m_Norm
2219752,OI_ATUAL,Proposta Oi - Valor Atual Contratado (2219752),30,1.375,1.0,1.0,1.0,1.0,1.0,1653.14,2273.07,0.0,37.5,2046.84,3843.69,4474755.72
2215770,TR_DPRJ,Termo de Referência 2215770 (DPRJ),12,1.0,0.4198,0.4398,0.4259,0.3698,0.4307,,,,,,,
2219726,GSNT,Proposta GSNT Telecom (2219726),30,1.375,0.3962,0.3298,0.2991,0.6112,0.4266,5900.0,8112.5,256.9,390.73,7150.0,9487.5,14663550.0
2219727,PREGAO_GO,Pregão 107458/2025 Sec. Geral GO (2219727),36,1.5,0.3186,0.2157,0.2942,0.4641,0.3642,462.43,693.64,-72.03,-58.04,,,
2219728,PREGAO_MPES,Pregão 90037/2025 MPES (2219728),30,1.375,0.4332,0.3761,0.4168,0.5178,0.459,848.12,1166.16,-48.7,-29.46,1709.88,,
2219730,PREGAO_DTI_PF,Pregão 90009/2025 DTI / PF (2219730),30,1.375,0.3895,0.3706,0.3585,0.3971,0.4568,323.24,444.46,-80.45,-73.11,,,
2219741,PREGAO_MPRJ,Pregão 90020/2024 MPRJ (2219741),36,1.5,0.3705,0.3528,0.3503,0.3181,0.4799,2473.94,3710.91,49.65,124.48,3082.85,5809.73,6865759.32
2219742,CONTRATO_MTE,Contrato 18/2024 MTE / Telebras (2219742),60,2.0,0.3219,0.2774,0.3033,0.4284,0.3101,4919.56,9839.12,197.59,495.18,,17956.72,
2219745,CD_FUPESC,Proposta CD 75/2025 FUPESC (2219745),12,1.0,0.2745,0.297,0.2862,0.3381,0.1598,1148.0,1148.0,-30.56,-30.56,,,
2219747,PREGAO_TJMRS,Pregão 2/2026 TJMRS (2219747),48,1.75,0.3829,0.3285,0.3285,0.6005,0.3285,1200.0,2100.0,-27.41,27.03,,,
